[2026-03-28 15:58:02,702] 16 root - INFO - Initiate the data ingestion
[2026-03-28 15:58:20,078] 65 root - INFO - Performed train test split on the dataframe
[2026-03-28 15:58:20,078] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[2026-03-28 15:58:20,079] 75 root - INFO - Exporting train and test file path.
[2026-03-28 15:58:20,234] 84 root - INFO - Exported train and test file path.
[2026-03-28 15:58:20,235] 18 root - INFO - Data Initiation Completed
[2026-03-28 15:58:20,302] 22 root - INFO - Initiate the data Validation
[2026-03-28 15:58:20,437] 34 root - INFO - Required number of columns:2
[2026-03-28 15:58:20,437] 35 root - INFO - Data frame has columns:31
[2026-03-28 15:58:20,438] 34 root - INFO - Required number of columns:2
[2026-03-28 15:58:20,438] 35 root - INFO - Data frame has columns:31
[2026-03-28 15:58:20,707] 24 root - INFO - data validation completed
